query.kingdom,query.phylum,query.class,query.order,query.family,query.genus,query.species,query.group,query.group.rank,nVariants,variant.type,intra.minP,intra.maxP,intra.nPairs,inter.rank,inter.taxa,inter.minP,inter.maxP,inter.nPairs,nTargetSpecies,closest.interspecies,MG.type,primer
Metazoa,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla malgumora,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,94.1,94.1,2,genus,Anguilla,91.2,100,54,16,100,overlap,MiFish
Metazoa,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger myriaster,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.4,99.4,2,genus,Conger,96.5,97.1,4,1,97.1,gap,MiFish
Metazoa,Chordata,Actinopteri,Amiiformes,Amiidae,Amia,Amia calva,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.3,98.3,2,class,Actinopteri,54.8,78.5,10528,4306,78.5,gap,MiFish
Metazoa,Chordata,Actinopteri,Albuliformes,Albulidae,Pterothrissus,Pterothrissus gissu,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.9,98.9,2,class,Actinopteri,56,85.1,10524,4305,85.1,gap,MiFish
Metazoa,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla luzonensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.4,99.4,2,genus,Anguilla,91.2,100,54,16,100,overlap,MiFish
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa marulius,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,93.5,93.5,2,genus,Channa,81.7,100,32,10,100,overlap,MiFish
Metazoa,Chordata,Actinopteri,Acanthuriformes,Luvaridae,Luvarus,Luvarus imperialis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.4,99.4,2,order,Acanthuriformes,82.4,91.7,30,13,91.7,gap,MiFish
Metazoa,Chordata,Actinopteri,Acanthuriformes,Zanclidae,Zanclus,Zanclus cornutus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.4,99.4,2,class,Actinopteri,57.8,90.5,10498,4293,90.5,gap,MiFish
Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Paracanthurus,Paracanthurus hepatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.4,99.4,2,family,Acanthuridae,84,93.5,22,11,93.5,gap,MiFish
Metazoa,Chordata,Actinopteri,Anguilliformes,Nemichthyidae,Nemichthys,Nemichthys scolopaceus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,95.3,98.2,6,genus,Nemichthys,93.5,96.5,3,1,96.5,overlap,MiFish
