query.kingdom,query.phylum,query.class,query.order,query.family,query.genus,query.species,query.group,query.group.rank,nVariants,variant.type,intra.minP,intra.maxP,intra.nPairs,inter.rank,inter.taxa,inter.minP,inter.maxP,inter.nPairs,nTargetSpecies,closest.interspecies,MG.type,primer
Metazoa,Chordata,Actinopteri,,Menidae,Mene,Mene maculata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,class,Actinopteri,69.9,87.6,8400,3142,87.6,gap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa marulius,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,84.5,84.5,2,genus,Channa,80.5,100,32,11,100,overlap,miniE
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion clarkii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.7,98.7,2,genus,Amphiprion,90.3,100,18,9,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Aulopiformes,Synodontidae,Trachinocephalus,Trachinocephalus myops,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,97.8,97.8,2,class,Actinopteri,69.5,87.6,8348,3117,87.6,gap,miniE
Metazoa,Chordata,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,Alepisaurus ferox,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.1,99.1,2,class,Actinopteri,68.6,88.9,8348,3117,88.9,gap,miniE
Metazoa,Chordata,Actinopteri,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,family,Polyodontidae,93.8,94.2,2,1,94.2,gap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus chinensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,88.9,88.9,2,genus,Macropodus,82.3,100,6,3,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla australis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,100,100,2,genus,Anguilla,93.4,95.1,6,3,95.1,gap,miniE
Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso,Naso lopezi,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.1,99.1,2,class,Actinopteri,71.7,89.8,8384,3134,89.8,gap,miniE
Metazoa,Chordata,Actinopteri,Alepocephaliformes,Alepocephalidae,Xenodermichthys,Xenodermichthys copei,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,order,Alepocephaliformes,81.9,88.5,10,5,88.5,gap,miniE
Metazoa,Chordata,Actinopteri,Anguilliformes,Moringuidae,Moringua,Moringua microchir,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,87.6,87.6,2,genus,Moringua,84.5,88.5,4,2,88.5,overlap,miniE
Metazoa,Chordata,Actinopteri,,Sillaginidae,Sillago,Sillago japonica,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,99.1,99.6,6,genus,Sillago,82.3,87.2,21,7,87.2,gap,miniE
Metazoa,Chordata,Actinopteri,Anguilliformes,Muraenidae,Uropterygius,Uropterygius concolor,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,family,Muraenidae,77,87.6,30,15,87.6,gap,miniE
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser dabryanus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,5,multi,98.7,99.6,20,genus,Acipenser,94.7,100,120,17,100,overlap,miniE
Metazoa,Chordata,Actinopteri,,Centropomidae,Lates,Lates calcarifer,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.1,99.1,2,class,Actinopteri,69,87.6,8394,3139,87.6,gap,miniE
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sinensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,4,multi,97.8,99.6,12,genus,Acipenser,94.7,100,100,17,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa argus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,92,100,6,genus,Channa,81.9,100,45,11,100,overlap,miniE
Metazoa,Chordata,Actinopteri,,Sciaenidae,Collichthys,Collichthys lucidus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,94.2,97.8,6,genus,Collichthys,90.3,99.6,6,1,99.6,overlap,miniE
Metazoa,Chordata,Actinopteri,,Sciaenidae,Collichthys,Collichthys niveatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,91.6,91.6,2,genus,Collichthys,90.3,99.6,6,1,99.6,overlap,miniE
Metazoa,Chordata,Actinopteri,,Sciaenidae,Pennahia,Pennahia argentata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.5,96.5,2,genus,Pennahia,85,88.5,6,3,88.5,gap,miniE
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,100,100,2,genus,Acipenser,94.7,99.6,54,17,99.6,gap,miniE
Metazoa,Chordata,Actinopteri,,Sciaenidae,Chrysochir,Chrysochir aureus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,86.3,86.3,2,family,Sciaenidae,70.8,100,62,24,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa argus x Channa maculata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,92,92,2,genus,Channa,81.9,100,32,11,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa striata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,97.8,97.8,2,genus,Channa,80.5,100,32,11,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus trichopterus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,genus,Trichopodus,86.7,100,6,3,100,overlap,miniE
Metazoa,Chordata,Actinopteri,,Scatophagidae,Scatophagus,Scatophagus argus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.7,98.7,2,class,Actinopteri,72.6,88.5,8400,3142,88.5,gap,miniE
Metazoa,Chordata,Actinopteri,,Polynemidae,Eleutheronema,Eleutheronema tetradactylum,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.1,99.1,2,class,Actinopteri,69.9,86.3,8390,3138,86.3,gap,miniE
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser schrenckii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,family,Acipenseridae,93.4,100,18,9,100,overlap,miniE
Metazoa,Chordata,Actinopteri,Atheriniformes,Melanotaeniidae,Chilatherina,Chilatherina alleni,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,99.6,99.6,2,genus,Chilatherina,96,100,22,10,100,overlap,miniE
