query.kingdom,query.phylum,query.class,query.order,query.family,query.genus,query.species,query.group,query.group.rank,nVariants,variant.type,intra.minP,intra.maxP,intra.nPairs,inter.rank,inter.taxa,inter.minP,inter.maxP,inter.nPairs,nTargetSpecies,closest.interspecies,MG.type,primer
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion sebae,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,93.8,93.8,2,genus,Amphiprion,87.3,100,28,11,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.7,96.7,2,order,Acipenseriformes,85.2,95.1,74,30,95.1,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta pugnax,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,4,multi,95.2,98.4,12,genus,Betta,65.2,100,420,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta anabatoides,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,93.9,93.9,2,genus,Betta,64.2,98.4,214,68,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta chloropharynx,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,93.8,98.5,6,genus,Betta,66.2,98.4,318,68,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta brownorum,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,93.8,98.4,6,genus,Betta,62.7,96.9,318,68,96.9,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta foerschi,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,93.8,93.8,2,genus,Betta,67.2,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta simorum,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.5,98.5,2,genus,Betta,53.8,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta patoti,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,64.1,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta ocellata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,93.8,93.8,2,genus,Betta,65.7,98.4,214,68,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus leerii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,64.1,64.1,2,class,Actinopteri,50,100,9210,3901,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster lalius,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Trichogaster,79.4,85.7,6,3,85.7,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus chinensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,85.7,85.7,2,genus,Macropodus,85.7,100,8,4,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Abudefduf,Abudefduf saxatilis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Abudefduf,75.8,98.4,20,9,98.4,on,teleo
Metazoa,Chordata,Actinopteri,,Embiotocidae,Embiotoca,Embiotoca jacksoni,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,family,Embiotocidae,82.3,98.4,8,4,98.4,on,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Huso,Huso huso,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,family,Acipenseridae,88.5,100,66,28,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sinensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,91.8,98.4,6,genus,Acipenser,88.5,100,66,19,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Huso,Huso dauricus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,family,Acipenseridae,91.8,100,66,28,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus microlepis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,91.9,91.9,2,genus,Trichopodus,70.3,100,8,3,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus leucosternon,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,family,Acanthuridae,74.6,100,10,5,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Abudefduf,Abudefduf septemfasciatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,95.2,95.2,2,genus,Abudefduf,82.3,100,20,9,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion clarkii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,92.2,98.4,6,genus,Amphiprion,87.3,100,39,11,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion ocellaris,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Amphiprion,87.5,92.2,28,11,92.2,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Dascyllus,Dascyllus reticulatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,87.5,87.5,2,genus,Dascyllus,71.6,90.6,6,3,90.6,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Dischistodus,Dischistodus prosopotaenia,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.9,96.9,2,genus,Dischistodus,83.1,93.8,6,3,93.8,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Neopomacentrus,Neopomacentrus azysron,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,89.1,89.1,2,class,Actinopteri,46.9,82.3,9380,3952,82.3,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Premnas,Premnas biaculeatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.8,96.8,2,family,Pomacentridae,62.5,90.5,180,81,90.5,gap,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Larimichthys,Larimichthys polyactis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.9,96.9,2,family,Sciaenidae,64.1,100,50,22,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Collichthys,Collichthys niveatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,90.5,90.5,2,family,Sciaenidae,71.4,100,50,22,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta bellica,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,4,multi,85.1,96.9,12,genus,Betta,54.7,100,420,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta burdigala,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,65.6,96.9,214,68,96.9,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta tomi,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,63.6,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta coccina,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,93.7,98.4,6,genus,Betta,65.7,98.4,318,68,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta compuncta,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,62.7,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta edithae,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,92.4,98.5,6,genus,Betta,66.7,92.4,318,68,92.4,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta pulchra,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,6,multi,92.2,98.4,30,genus,Betta,60,100,618,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta livida,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.8,96.8,2,genus,Betta,65.6,98.4,214,68,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta midas,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.5,98.5,2,genus,Betta,64.2,95.5,214,68,95.5,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta pallifina,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,97,97,2,genus,Betta,62.7,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta persephone,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,64.6,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta stigmosa,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.9,96.9,2,genus,Betta,61.5,95.3,214,68,95.3,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta prima,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,96.9,98.4,6,genus,Betta,65.6,100,318,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta simplex,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,81.5,81.5,2,genus,Betta,65.6,98.5,214,68,98.5,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta splendens,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.5,98.5,2,genus,Betta,62.7,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta taeniata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.9,96.9,2,genus,Betta,60.9,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta tussyae,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,95.2,98.4,6,genus,Betta,65.1,90.6,318,68,90.6,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta uberis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Betta,65.6,100,214,68,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Scatophagidae,Scatophagus,Scatophagus argus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,96.7,96.7,2,family,Scatophagidae,90.2,93.4,2,1,93.4,gap,teleo
Metazoa,Chordata,Actinopteri,,Moronidae,Dicentrarchus,Dicentrarchus labrax,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,92.2,92.2,2,family,Moronidae,79.7,85.9,6,3,85.9,gap,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Protonibea,Protonibea diacanthus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,95.2,95.2,2,family,Sciaenidae,66.2,90.6,52,23,90.6,gap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,100,100,6,genus,Acipenser,90.2,100,66,19,100,on,teleo
Metazoa,Chordata,Actinopteri,,Pomacanthidae,Centropyge,Centropyge interrupta,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,85.5,85.5,2,genus,Centropyge,75.8,100,34,16,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Pseudochromidae,Pictichromis,Pictichromis paccagnellae,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,98.4,98.4,6,class,Actinopteri,44.4,76.2,14331,4031,76.2,gap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Acipenser,88.5,98.4,46,19,98.4,on,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Otolithes,Otolithes ruber,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,97,97,2,family,Sciaenidae,65.1,80,52,23,80,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacanthidae,Centropyge,Centropyge vrolikii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,2,multi,98.4,98.4,2,genus,Centropyge,79.4,100,34,16,100,overlap,teleo
Metazoa,Chordata,Actinopteri,,Siganidae,Siganus,Siganus javus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,3,multi,95.2,98.4,6,genus,Siganus,85.7,98.4,27,9,98.4,overlap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,family,Acipenseridae,91.8,100,12,10,100,on,teleo
Metazoa,Chordata,Actinopteri,Amiiformes,Amiidae,Amia,Amia calva,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,phylum,Chordata,50,77.8,373,307,77.8,gap,teleo
Metazoa,Chordata,Actinopteri,Albuliformes,Albulidae,Pterothrissus,Pterothrissus gissu,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,phylum,Chordata,42.9,77.8,373,307,77.8,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Abudefduf,Abudefduf vaigiensis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Abudefduf,79,100,11,9,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Helostomatidae,Helostoma,Helostoma temminkii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,47.9,84.1,4605,3901,84.1,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion ephippium,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Amphiprion,89.1,100,15,11,100,on,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion akallopisos,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Amphiprion,87.3,96.8,15,11,96.8,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion percula,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Amphiprion,85.9,92.1,15,11,92.1,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacentridae,Amphiprion,Amphiprion polymnus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Amphiprion,89.1,100,15,11,100,on,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Cynoscion,Cynoscion arenarius,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Cynoscion,93.7,93.7,1,1,93.7,gap,teleo
Metazoa,Chordata,Actinopteri,,Sciaenidae,Cynoscion,Cynoscion nebulosus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Cynoscion,93.7,93.7,1,1,93.7,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta fusca,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,70.1,100,108,68,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta breviobesus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,60.9,100,108,68,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta cf. albimarginata 'Pampang',Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,53.8,100,108,68,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta cf. albimarginata 'Malinau',Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,59.7,100,108,68,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta cf. burdigala,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,65.6,100,108,68,100,on,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta strohi,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Betta,65.6,93.8,108,68,93.8,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster chuna,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Trichogaster,83.9,87.1,4,3,87.1,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Trichopsis,Trichopsis vittata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,50.8,82.5,4605,3901,82.5,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Pseudosphromenus,Pseudosphromenus cupanus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Pseudosphromenus,91.9,91.9,1,1,91.9,gap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,family,Acipenseridae,86.9,98.4,12,10,98.4,gap,teleo
Metazoa,Chordata,Actinopteri,Alepocephaliformes,Alepocephalidae,Alepocephalus,Alepocephalus tenebrosus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Alepocephalus,92.2,100,7,7,100,on,teleo
Metazoa,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae,Platytroctes,Platytroctes apus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,family,Platytroctidae,89.2,95.2,3,3,95.2,gap,teleo
Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus cf. albus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Scaphirhynchus,100,100,4,4,100,on,teleo
Metazoa,Chordata,Actinopteri,,Emmelichthyidae,Emmelichthys,Emmelichthys struhsakeri,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,50,92.1,4781,4033,92.1,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacanthidae,Centropyge,Centropyge loricula,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Centropyge,81,96.8,18,16,96.8,gap,teleo
Metazoa,Chordata,Actinopteri,,Pomacanthidae,Chaetodontoplus,Chaetodontoplus septentrionalis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Chaetodontoplus,85.5,98.4,2,2,98.4,gap,teleo
Metazoa,Chordata,Actinopteri,,Siganidae,Siganus,Siganus unimaculatus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Siganus,88.9,100,11,9,100,on,teleo
Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma flavescens,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,family,Acanthuridae,79,90.5,11,10,90.5,gap,teleo
Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Parachanna,Parachanna insignis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,genus,Parachanna,78.1,100,2,2,100,on,teleo
Metazoa,Chordata,Actinopteri,,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,49.2,79,4777,4031,79,gap,teleo
Metazoa,Chordata,Actinopteri,,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,46.8,83.9,4776,4029,83.9,gap,teleo
Metazoa,Chordata,Actinopteri,,Embiotocidae,Ditrema,Ditrema temminckii,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,family,Embiotocidae,79,93.5,5,4,93.5,gap,teleo
Metazoa,Chordata,Actinopteri,Acanthuriformes,Luvaridae,Luvarus,Luvarus imperialis,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,class,Actinopteri,48.4,88.9,4768,4021,88.9,gap,teleo
Metazoa,Chordata,Actinopteri,Acanthuriformes,Zanclidae,Zanclus,Zanclus cornutus,Eukaryota/Metazoa/Chordata/Actinopteri/Actinopteri-subgroup-1,order,1,single,100,100,1,order,Acanthuriformes,76.2,88.7,13,12,88.7,gap,teleo
