derepID	derepSize	taxid	taxname	rank	group.rank	superkingdom	kingdom	phylum	class	order	family	genus	species	amp_length	nVariants	variant.type	primer	fn	group.num	group
JF498084.1_q165_a195	1	999652	Sphenomorphus cyanolaemus	species	class	Eukaryota	Metazoa	Chordata		Squamata	Scincidae	Sphenomorphus	Sphenomorphus cyanolaemus	195	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
JF498092.1_q164_a195	1	245661	Sphenomorphus sabanus	species	class	Eukaryota	Metazoa	Chordata		Squamata	Scincidae	Sphenomorphus	Sphenomorphus sabanus	195	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
FJ515780.1_q3089_a220	5	9275	Thylacinus cynocephalus	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Dasyuromorphia	Thylacinidae	Thylacinus	Thylacinus cynocephalus	220	3	multi	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
FJ515781.1_q2747_a220	31	9275	Thylacinus cynocephalus	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Dasyuromorphia	Thylacinidae	Thylacinus	Thylacinus cynocephalus	220	3	multi	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HF547805.1_q164_a193	1	1249901	Tropidosaura montana montana	subspecies	class	Eukaryota	Metazoa	Chordata		Squamata	Lacertidae	Tropidosaura	Tropidosaura montana	193	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KR153504.1_q188_a242	1	495829	Aptychotrema vincentiana	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Pristiformes/Rhiniformes group	Rhinobatidae	Aptychotrema	Aptychotrema vincentiana	242	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AB028756.1_q118_a205	1	8517	Iguana iguana	species	class	Eukaryota	Metazoa	Chordata		Squamata	Iguanidae	Iguana	Iguana iguana	205	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AY520497.1_q203_a201	1	261944	Liopholis inornata	species	class	Eukaryota	Metazoa	Chordata		Squamata	Scincidae	Liopholis	Liopholis inornata	201	2	multi	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AY520498.1_q203_a201	1	261944	Liopholis inornata	species	class	Eukaryota	Metazoa	Chordata		Squamata	Scincidae	Liopholis	Liopholis inornata	201	2	multi	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AB257296.1_q2236_a253	27	7897	Latimeria chalumnae	species	class	Eukaryota	Metazoa	Chordata		Coelacanthiformes	Coelacanthidae	Latimeria	Latimeria chalumnae	253	2	multi	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AF176901.1_q4342_a252	3	106881	Latimeria menadoensis	species	class	Eukaryota	Metazoa	Chordata		Coelacanthiformes	Coelacanthidae	Latimeria	Latimeria menadoensis	252	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
EF564035.1_q131_a193	1	462277	Gonatodes ceciliae	species	class	Eukaryota	Metazoa	Chordata		Squamata	Sphaerodactylidae	Gonatodes	Gonatodes ceciliae	193	1	single	Fish16S	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
