derepID	derepSize	taxid	taxname	rank	group.rank	superkingdom	kingdom	phylum	class	order	family	genus	species	amp_length	nVariants	variant.type	primer	fn	group.num	group
GQ200655.1_q102_a275	2	715290	Parantipathes sp. type C	species	phylum	Eukaryota	Metazoa	Cnidaria	Anthozoa	Antipatharia	Schizopathidae	Parantipathes	Parantipathes sp. type C	275	1	single	miniE	Metazoa	2	Eukaryota/Metazoa/Metazoa-02
HQ203165.1_q7_a275	1	933830	Domanibdella sp. n. EB-2010	species	phylum	Eukaryota	Metazoa	Annelida	Clitellata	Hirudinida	Haemadipsidae	Domanibdella	Domanibdella sp. n. EB-2010	275	1	single	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
JQ889873.1_q1_a275	17	134763	Metridia lucens	species	phylum	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia lucens	275	4	multi	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
KP222296.1_q19_a275	1	1677679	Mesochaetopterus tingkokensis	species	phylum	Eukaryota	Metazoa	Annelida	Polychaeta	Spionida	Chaetopteridae	Mesochaetopterus	Mesochaetopterus tingkokensis	275	1	single	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
GQ200657.1_q92_a275	1	715291	Parantipathes sp. type D	species	phylum	Eukaryota	Metazoa	Cnidaria	Anthozoa	Antipatharia	Schizopathidae	Parantipathes	Parantipathes sp. type D	275	1	single	miniE	Metazoa	2	Eukaryota/Metazoa/Metazoa-02
KC428100.1_q1431_a275	1	1297118	Cheirotonus jansoni	species	phylum	Eukaryota	Metazoa	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Cheirotonus	Cheirotonus jansoni	275	1	single	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
KU355786.1_q1446_a275	1	1825296	Fruhstorferiola sp. DLG-2016	species	phylum	Eukaryota	Metazoa	Arthropoda	Insecta	Orthoptera	Acrididae	Fruhstorferiola	Fruhstorferiola sp. DLG-2016	275	1	single	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
JN898948.1_q4_a275	1	368946	Dosinia japonica	species	phylum	Eukaryota	Metazoa	Mollusca	Bivalvia	Veneroida	Veneridae	Dosinia	Dosinia japonica	275	2	multi	miniE	Metazoa	2	Eukaryota/Metazoa/Metazoa-02
JQ889877.1_q4_a275	5	134763	Metridia lucens	species	phylum	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia lucens	275	4	multi	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
AF178678.1_q19_a275	1	6359	Platynereis dumerilii	species	phylum	Eukaryota	Metazoa	Annelida	Polychaeta	Phyllodocida	Nereididae	Platynereis	Platynereis dumerilii	275	1	single	miniE	Metazoa	1	Eukaryota/Metazoa/Metazoa-01
