derepID	derepSize	taxid	taxname	rank	group.rank	superkingdom	kingdom	phylum	class	order	family	genus	species	amp_length	nVariants	variant.type	primer	fn	group.num	group
KF612341.1_q914_a100	1	280671	Carcharhinus sorrah	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus sorrah	100	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KT203434.1_q920_a99	4	1579277	Mobula mobular	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Mobula	Mobula mobular	99	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KF646785.1_q913_a100	1	46612	Carcharhinus leucas	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus leucas	100	2	multi	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AB015962.1_q911_a99	1	79736	Mustelus manazo	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus manazo	99	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HQ149046.1_q900_a105	2	867383	Trachypithecus hatinhensis	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus hatinhensis	105	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HQ149047.1_q898_a105	1	271260	Trachypithecus germaini	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus germaini	105	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HQ149048.1_q898_a105	3	1042121	Trachypithecus shortridgei	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus shortridgei	105	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
DQ112909.3_q1045_a106	48560	9606	Homo sapiens	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	106	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HQ149049.1_q899_a104	1	54137	Trachypithecus vetulus	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus vetulus	104	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KU951280.1_q911_a98	1	1443580	Squalus formosus	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus formosus	98	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
AY830716.1_q365_a98	1	303931	Hexanchus nakamurai	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Hexanchiformes	Hexanchidae	Hexanchus	Hexanchus nakamurai	98	2	multi	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
HQ149050.1_q899_a104	1	66063	Trachypithecus johnii	species	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus johnii	104	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KT347599.1_q914_a99	1	884673	Loxodon macrorhinus	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Loxodon	Loxodon macrorhinus	99	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
KJ619663.1_q915_a98	1	661037	Squatina japonica	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes		Squatinidae	Squatina	Squatina japonica	98	1	single	teleo	Chordata	1	Eukaryota/Metazoa/Chordata/Chordata-01
