derepID	derepSize	taxid	taxname	rank	group.rank	superkingdom	kingdom	phylum	class	order	family	genus	species	amp_length	nVariants	variant.type	primer	fn	group.num	group
KF612341.1_q299_a229	1	280671	Carcharhinus sorrah	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus sorrah	229	1	single	MiFish	Chordata	2	Eukaryota/Metazoa/Chordata/Chordata-02
KT203434.1_q299_a228	3	1579277	Mobula mobular	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Mobula	Mobula mobular	228	1	single	MiFish	Chordata	2	Eukaryota/Metazoa/Chordata/Chordata-02
KF646785.1_q298_a229	1	46612	Carcharhinus leucas	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus leucas	229	1	single	MiFish	Chordata	2	Eukaryota/Metazoa/Chordata/Chordata-02
KY418068.1_q294_a220	1	1985985	Cynops cyanurus chuxiongensis	subspecies	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Salamandridae	Cynops	Cynops cyanurus	220	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
FJ532058.1_q296_a225	1	581055	Pseudohynobius puxiongensis	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Pseudohynobius	Pseudohynobius puxiongensis	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
FJ532059.1_q295_a225	1	157107	Pseudohynobius flavomaculatus	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Pseudohynobius	Pseudohynobius flavomaculatus	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
FJ532060.1_q297_a225	1	365029	Pseudohynobius shuichengensis	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Pseudohynobius	Pseudohynobius shuichengensis	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
KU131044.1_q297_a244	1	141262	Andrias davidianus	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	Andrias davidianus	244	4	multi	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
KU131045.1_q297_a220	1	141262	Andrias davidianus	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	Andrias davidianus	220	4	multi	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
KU131046.1_q297_a220	1	141262	Andrias davidianus	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	Andrias davidianus	220	4	multi	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
KY486756.1_q205_a217	11	1941144	Leptobrachium bompu	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Anura	Megophryidae	Leptobrachium	Leptobrachium bompu	217	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
AB689008.1_q294_a219	1	385653	Echinotriton andersoni	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Salamandridae	Echinotriton	Echinotriton andersoni	219	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
AB689009.1_q295_a219	1	164973	Tylototriton verrucosus	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Salamandridae	Tylototriton	Tylototriton verrucosus	219	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
DQ333808.1_q295_a225	2	244216	Hynobius amjiensis	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	Hynobius amjiensis	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
AB015962.1_q295_a230	1	79736	Mustelus manazo	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus manazo	230	1	single	MiFish	Chordata	2	Eukaryota/Metazoa/Chordata/Chordata-02
DQ333810.1_q295_a225	2	156992	Liua shihi	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Liua	Liua shihi	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
DQ333811.1_q296_a226	2	113391	Hynobius leechii	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	Hynobius leechii	226	10	multi	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
DQ333812.1_q298_a225	2	288317	Pachyhynobius shangchengensis	species	class	Eukaryota	Metazoa	Chordata	Amphibia	Caudata	Hynobiidae	Pachyhynobius	Pachyhynobius shangchengensis	225	1	single	MiFish	Chordata---Amphibia		Eukaryota/Metazoa/Chordata/Chordata---Amphibia
KU951280.1_q297_a229	1	1443580	Squalus formosus	species	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus formosus	229	1	single	MiFish	Chordata	2	Eukaryota/Metazoa/Chordata/Chordata-02
